Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
0,0,0,1944,34,68.04,1,3
2,2,1,1266,17,45.57,1,0
3,3,1,1587,56,55.5,8,0
0,0,2,1560,31,15.5,0,3
2,2,1,1450,56,48.0,1,0
2,2,3,1290,31,50.0,3,2
2,2,1,1200,56,40.0,1,0
3,3,1,1663,17,59.86,0,0
3,3,1,1500,23,56.0,1,1
3,3,1,2062,18,89.0,1,0
2,2,1,1250,14,39.0,1,0
2,2,1,1350,7,59.0,0,2
3,3,3,1600,77,95.0,8,1
6,7,1,3700,55,110.00000000000001,1,2
0,0,2,1782,31,16.83,1,3
0,0,2,1800,56,33.0,8,3
0,0,2,1500,31,20.0,1,3
3,3,1,1650,17,72.0,1,0
2,2,1,1000,52,56.0,1,2
2,2,3,1187,32,56.4,1,0
2,1,1,1151,23,28.18,1,0
0,0,0,1818,55,46.46,8,3
0,0,0,1647,31,25.61,1,3
0,0,0,1647,17,29.25,8,3
3,3,1,2000,32,102.0,1,0
2,2,1,1168,56,41.95,0,0
2,2,3,1200,7,58.8,0,0
0,0,0,1845,17,33.82,3,3
1,0,1,1054,31,26.5,1,0
3,3,1,1560,17,74.0,1,4
2,2,1,1400,45,57.0,1,0
2,2,3,1187,11,56.4,1,2
0,0,0,1647,13,32.94,8,0
0,0,0,1980,32,50.6,8,3
0,0,0,1647,17,29.09,0,3
3,3,1,1460,11,75.0,1,3
2,2,1,1266,17,44.13,0,0
3,3,1,2000,62,65.0,1,0
2,2,3,1150,32,48.0,0,0
0,0,2,1620,31,22.5,0,2
1,1,1,914,17,53.5,1,3
2,2,3,900,52,50.0,1,0
3,3,3,2109,7,103.0,0,2
2,2,1,1174,34,34.0,1,0
3,3,3,1870,8,125.0,1,0
0,0,0,1818,56,33.33,0,1
0,0,0,1647,56,43.92,1,3
0,0,2,1800,17,17.0,1,3
3,3,1,2000,67,105.0,1,3
0,0,0,1647,31,24.7,1,0
0,0,0,1080,82,9.6,1,3
3,0,1,1663,17,59.86,1,3
2,2,3,1350,13,59.99,1,0
2,2,3,1500,31,44.99,1,2
3,3,3,1260,20,50.0,1,2
1,1,1,661,17,28.0,1,0
0,0,0,1350,63,13.5,1,0
2,2,3,1280,31,44.99,1,3
2,2,1,1100,13,22.0,1,2
0,0,0,2205,38,41.5,1,0
0,0,0,1647,56,42.09,0,3
0,0,0,1800,31,28.0,1,3
0,0,2,1548,56,35.3,0,3
0,0,0,1485,17,27.0,1,3
0,0,0,2700,31,39.0,0,3
0,0,0,1773,20,23.64,3,3
0,0,0,1350,31,24.0,0,3
2,2,3,900,55,36.0,1,3
3,3,1,1700,72,76.5,1,2
2,2,3,1800,45,75.0,1,0
2,2,1,1005,37,42.0,1,2
2,2,1,800,85,27.0,1,0
2,2,1,900,52,25.75,1,0
3,3,1,2280,18,60.0,1,0
2,2,1,950,17,26.5,1,0
2,2,1,1500,32,65.0,0,5
2,2,3,1100,56,57.0,8,0
3,2,3,1260,31,10.4,1,2
3,3,1,1500,67,75.0,1,5
2,2,1,1023,56,30.0,1,0
3,3,3,1543,7,77.15,0,0
2,2,3,1200,7,76.58,1,0
0,0,0,1647,14,30.19,0,0
2,2,1,1350,55,59.99,1,3
2,0,1,1175,34,35.83,1,2
2,2,3,1350,55,59.99,1,0
3,3,1,2120,85,85.0,1,2
2,2,1,1242,11,85.0,1,1
0,0,0,1350,0,5.23,1,2
0,0,0,3150,55,71.75,8,3
0,0,2,1548,55,35.3,0,3
0,0,0,1500,17,28.0,0,3
2,2,1,900,2,68.0,1,1
2,2,1,1215,26,36.45,1,2
0,0,0,900,64,5.49,3,0
0,0,0,1647,62,29.09,0,0
0,0,0,1764,56,31.16,8,3
0,0,0,1764,56,32.34,0,3
0,0,0,1647,56,42.09,8,3
0,0,0,1719,14,31.51,0,3
0,0,0,1719,14,30.36,1,3
0,0,0,1719,14,30.36,8,3
0,0,0,1647,44,30.19,0,3
0,0,0,1647,44,29.09,8,3
0,0,0,1647,44,30.19,0,3
0,0,0,202,17,27.27,8,3
